Time,Number of cases,Number of deaths,Morbidity,Mortality
01/2004,99466,67,7.6519,0.0052
02/2004,84156,68,6.4741,0.0052
03/2004,94360,111,7.2591,0.0085
04/2004,91944,121,7.0733,0.0093
05/2004,90379,151,6.9529,0.0116
06/2004,87661,140,6.7438,0.0108
07/2004,85117,148,6.5481,0.0114
08/2004,85860,130,6.6052,0.01
09/2004,76686,100,5.8995,0.0077
10/2004,75824,165,5.8332,0.0127
11/2004,61569,128,4.7365,0.0098
12/2004,37257,106,2.8662,0.0082
01/2005,114193,143,8.7849,0.011
02/2005,87112,201,6.7015,0.0155
03/2005,130134,281,10.0112,0.0216
04/2005,133924,374,10.3028,0.0288
05/2005,121326,388,9.3336,0.0298
06/2005,120665,351,9.2828,0.027
07/2005,104853,389,8.0664,0.0299
08/2005,106976,355,8.2297,0.0273
09/2005,95741,275,7.3654,0.0212
10/2005,89801,282,6.9084,0.0217
11/2005,89376,226,6.8757,0.0174
12/2005,57604,173,4.2279,0.0127
01/2006,121435,141,9.2871,0.0108
02/2006,105269,210,8.0508,0.0161
03/2006,117577,303,8.9921,0.0232
04/2006,112030,359,8.5679,0.0275
05/2006,109183,370,8.3501,0.0283
06/2006,101060,314,7.7289,0.024
07/2006,96226,342,7.3592,0.0262
08/2006,94376,362,7.2177,0.0277
09/2006,83011,285,6.3485,0.0218
10/2006,80923,266,6.1889,0.0203
11/2006,64082,228,4.9009,0.0174
12/2006,42399,159,3.2426,0.0122
01/2007,130737,336,9.9459,0.0256
02/2007,99274,293,7.5524,0.0223
03/2007,114528,371,8.7128,0.0282
04/2007,113947,349,8.6686,0.0266
05/2007,112374,393,8.549,0.0299
06/2007,106731,381,8.1197,0.029
07/2007,99868,369,7.5975,0.0281
08/2007,98060,281,7.46,0.0214
09/2007,87507,277,6.6572,0.0211
10/2007,84592,245,6.4354,0.0186
11/2007,70936,230,5.3965,0.0175
12/2007,45405,144,3.4542,0.011
01/2008,124625,103,9.4321,0.0078
02/2008,110646,177,8.3741,0.0134
03/2008,121262,257,9.1775,0.0195
04/2008,115262,293,8.7234,0.0222
05/2008,110833,299,8.3882,0.0226
06/2008,101944,271,7.7155,0.0205
07/2008,98888,285,7.4842,0.0216
08/2008,95354,293,7.2167,0.0222
09/2008,87816,246,6.6462,0.0186
10/2008,86684,239,6.5606,0.0181
11/2008,69552,206,5.2639,0.0156
12/2008,46674,133,3.5325,0.0101
01/2009,102650,317,7.7296,0.0239
02/2009,91906,372,6.9205,0.028
03/2009,107850,433,8.1211,0.0326
04/2009,105789,360,7.9659,0.0271
05/2009,97690,381,7.3561,0.0287
06/2009,93371,344,7.0308,0.0259
07/2009,93371,344,7.0308,0.0259
08/2009,88336,294,6.6517,0.0221
09/2009,80041,260,6.0271,0.0196
10/2009,79474,253,5.9844,0.0191
11/2009,71576,237,5.3897,0.0178
12/2009,67868,202,5.1105,0.0152
01/2010,96017,263,7.1937,0.0197
02/2010,81927,230,6.138,0.0172
03/2010,96888,282,7.2589,0.0211
04/2010,94483,305,7.0788,0.0229
05/2010,92660,263,6.9422,0.0197
06/2010,86795,257,6.5028,0.0193
07/2010,81888,244,6.1351,0.0183
08/2010,80814,238,6.0547,0.0178
09/2010,74464,237,5.5789,0.0178
10/2010,75243,224,5.6373,0.0168
11/2010,68600,253,5.1396,0.019
12/2010,61571,204,4.613,0.0153
01/2011,90470,227,6.7469,0.0169
02/2011,86099,226,6.4209,0.0169
03/2011,94187,302,7.0241,0.0225
04/2011,89076,270,6.643,0.0201
05/2011,87785,284,6.5467,0.0212
06/2011,81240,218,6.0586,0.0163
07/2011,77322,261,5.7664,0.0195
08/2011,76528,259,5.7072,0.0193
09/2011,70922,214,5.2891,0.016
10/2011,73723,198,5.498,0.0148
11/2011,66918,195,4.9905,0.0145
12/2011,59005,186,4.4004,0.0139
01/2012,93994,171,6.9762,0.0127
02/2012,90726,242,6.7337,0.018
03/2012,96158,246,7.1368,0.0183
04/2012,90259,262,6.699,0.0194
05/2012,88066,243,6.5362,0.018
06/2012,79502,209,5.9006,0.0155
07/2012,77353,262,5.7411,0.0194
08/2012,75579,210,5.6095,0.0156
09/2012,68257,236,5.066,0.0175
10/2012,71685,216,5.3204,0.016
11/2012,62847,170,4.6645,0.0126
12/2012,57082,195,4.2366,0.0145
01/2013,88539,233,6.5389,0.0172
02/2013,76557,216,5.654,0.016
03/2013,85255,238,6.2963,0.0176
04/2013,84395,211,6.2328,0.0156
05/2013,81852,237,6.045,0.0175
06/2013,75769,205,5.5958,0.0151
07/2013,74805,247,5.5246,0.0182
08/2013,73995,203,5.4648,0.015
09/2013,69323,206,5.1197,0.0152
10/2013,70727,206,5.2234,0.0152
11/2013,62818,179,4.6393,0.0132
12/2013,60399,195,4.4607,0.0144
01/2014,89128,189,6.5769,0.0139
02/2014,77153,178,5.6932,0.0131
03/2014,84473,214,6.2334,0.0158
04/2014,81543,230,6.0172,0.017
05/2014,79530,212,5.8686,0.0156
06/2014,76366,182,5.6352,0.0134
07/2014,74607,184,5.5054,0.0136
08/2014,71144,188,5.2498,0.0139
09/2014,67087,187,4.9505,0.0138
10/2014,68456,157,5.0515,0.0116
11/2014,59949,166,4.4237,0.0122
12/2014,59945,153,4.4234,0.0113
01/2015,85486,198,6.2744,0.0145
02/2015,68103,161,4.9985,0.0118
03/2015,84404,225,6.1949,0.0165
04/2015,79622,227,5.844,0.0167
05/2015,77909,204,5.7182,0.015
06/2015,75363,196,5.5314,0.0144
07/2015,73535,208,5.3972,0.0153
08/2015,70202,168,5.1526,0.0123
09/2015,65586,180,4.8138,0.0132
10/2015,65513,186,4.8084,0.0137
11/2015,60688,154,4.4543,0.0113
12/2015,57604,173,4.2279,0.0127
01/2016,79047,199,5.7666,0.0145
02/2016,73246,165,5.3434,0.012
03/2016,82047,214,5.9854,0.0156
04/2016,74799,212,5.4567,0.0155
05/2016,74699,219,5.4494,0.016
06/2016,69365,236,5.0602,0.0172
07/2016,67091,217,4.8944,0.0158
08/2016,69654,195,5.0813,0.0142
09/2016,63722,195,4.6486,0.0142
10/2016,64549,215,4.7089,0.0157
11/2016,60541,212,4.4165,0.0155
12/2016,57476,186,4.1929,0.0136
01/2017,76650,230,5.555,0.0167
02/2017,72820,236,5.2774,0.0171
03/2017,77439,250,5.6122,0.0181
04/2017,73271,263,5.3101,0.0191
05/2017,76241,262,5.5254,0.019
06/2017,72085,229,5.2242,0.0166
07/2017,69913,238,5.0668,0.0172
08/2017,70483,262,5.1081,0.019
09/2017,63231,206,4.5825,0.0149
10/2017,63157,220,4.5771,0.0159
11/2017,60857,209,4.4104,0.0151
12/2017,59046,218,4.2792,0.0158
01/2018,,,5.254,0.0159
02/2018,,,4.6547,0.0164
03/2018,,,5.8236,0.0179
04/2018,,,5.3678,0.0187
05/2018,,,5.5557,0.017
06/2018,,,5.0986,0.0156
07/2018,,,5.0976,0.0167
08/2018,,,5.1242,0.018
09/2018,,,4.4987,0.0138
10/2018,,,4.3453,0.0148
11/2018,,,4.3987,0.0149
12/2018,,,4.1843,0.0148
